symbol,company_name,exchange,sector,industry,currency,listing_date,created_at,updated_at
9608.SR,Al Ashghal Al Moysra Co.,NOMU,Industrials,Integrated Freight & Logistics,SAR,,2025-09-30 22:34:50.248401+03:00,2025-09-30 22:34:50.248401+03:00
9624.SR,Alshehili Company for metal industries,NOMU,Consumer Cyclical,Auto Parts,SAR,,2025-09-30 22:34:54.370703+03:00,2025-09-30 22:34:54.370703+03:00
9639.SR,Anmat Technology for Trading Co,NOMU,,,SAR,,2025-09-30 22:34:58.654412+03:00,2025-09-30 22:34:58.654412+03:00
9633.SR,Service Equipment Co.,NOMU,Industrials,Specialty Industrial Machinery,SAR,,2025-09-30 22:35:02.879172+03:00,2025-09-30 22:35:02.879172+03:00
9547.SR,Rawasi Albina Investment Co.,NOMU,Industrials,Engineering & Construction,SAR,,2025-09-30 22:35:07.156867+03:00,2025-09-30 22:35:07.156867+03:00
9533.SR,Saudi Parts Center Company,NOMU,Consumer Cyclical,Auto Parts,SAR,,2025-09-30 22:35:11.389466+03:00,2025-09-30 22:35:11.389466+03:00
9569.SR,"AlMuneef Company for Trade, Industry, Agriculture and Contracting",NOMU,Basic Materials,Agricultural Inputs,SAR,,2025-09-30 22:35:15.755624+03:00,2025-09-30 22:35:15.755624+03:00
9568.SR,Mayar Holding Company,NOMU,Industrials,Conglomerates,SAR,,2025-09-30 22:35:20.040011+03:00,2025-09-30 22:35:20.040011+03:00
9560.SR,Waja Company,NOMU,Industrials,Engineering & Construction,SAR,,2025-09-30 22:35:24.342953+03:00,2025-09-30 22:35:24.342953+03:00
9583.SR,United Mining Industries Company,NOMU,Basic Materials,Building Materials,SAR,,2025-09-30 22:35:28.589966+03:00,2025-09-30 22:35:28.589966+03:00
9578.SR,Atlas Elevators General Trading & Contracting Company,NOMU,Industrials,Industrial Distribution,SAR,,2025-09-30 22:35:33.221594+03:00,2025-09-30 22:35:33.221594+03:00
9542.SR,Keir International Co.,NOMU,Technology,Communication Equipment,SAR,,2025-09-30 22:35:37.440812+03:00,2025-09-30 22:35:37.440812+03:00
9525.SR,Alwasail Industrial Company,NOMU,Basic Materials,Specialty Chemicals,SAR,,2025-09-30 22:35:41.967977+03:00,2025-09-30 22:35:41.967977+03:00
9528.SR,Gas Arabian Services Company,NOMU,Energy,Oil & Gas Equipment & Services,SAR,,2025-09-30 22:35:46.359243+03:00,2025-09-30 22:35:46.359243+03:00
9510.SR,National Building and Marketing Co.,NOMU,Basic Materials,Steel,SAR,,2025-09-30 22:35:50.611757+03:00,2025-09-30 22:35:50.611757+03:00
9545.SR,International Human Resources Company,NOMU,Industrials,Staffing & Employment Services,SAR,,2025-09-30 22:35:54.927860+03:00,2025-09-30 22:35:54.927860+03:00
9570.SR,Tam Development Company,NOMU,Industrials,Consulting Services,SAR,,2025-09-30 22:35:59.374078+03:00,2025-09-30 22:35:59.374078+03:00
9593.SR,Pan Gulf Marketing Co.,NOMU,Consumer Cyclical,Specialty Retail,SAR,,2025-09-30 22:36:03.579221+03:00,2025-09-30 22:36:03.579221+03:00
